[2026-09-18 10:05:57] ===== START R5_late_decay =====
[2026-09-18 10:05:57] python -u train.py --config configs/cifar10_fid15_r5_late_decay.yaml
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:276: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler(enabled=use_amp and amp_dtype == torch.float16)
/root/autodl-tmp/diffusion-models-starter-r4/projects/project1_ddpm/train.py:343: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=use_amp, dtype=amp_dtype):
[epoch 041 step 016300] loss=0.06860 lr=2.000e-04
[epoch 042 step 016400] loss=0.05809 lr=2.000e-04
[epoch 042 step 016500] loss=0.05990 lr=2.000e-04
[epoch 042 step 016600] loss=0.04228 lr=2.000e-04
[epoch 042 step 016700] loss=0.05677 lr=2.000e-04
[epoch 043 step 016800] loss=0.06161 lr=2.000e-04
[epoch 043 step 016900] loss=0.06037 lr=2.000e-04
[epoch 043 step 017000] loss=0.03994 lr=2.000e-04
[epoch 043 step 017100] loss=0.04897 lr=2.000e-04
[epoch 044 step 017200] loss=0.05955 lr=2.000e-04
[epoch 044 step 017300] loss=0.04879 lr=2.000e-04
[epoch 044 step 017400] loss=0.05680 lr=2.000e-04
[epoch 044 step 017500] loss=0.05030 lr=2.000e-04
[epoch 045 step 017600] loss=0.04524 lr=2.000e-04
[epoch 045 step 017700] loss=0.06983 lr=2.000e-04
[epoch 045 step 017800] loss=0.04588 lr=2.000e-04
[epoch 045 step 017900] loss=0.04729 lr=2.000e-04
[epoch 046 step 018000] loss=0.04764 lr=2.000e-04
[epoch 046 step 018100] loss=0.05264 lr=2.000e-04
[epoch 046 attempt 018107] optimizer step skipped; scaler=2097152.0
[epoch 046 step 018200] loss=0.05587 lr=2.000e-04
[epoch 046 step 018300] loss=0.06496 lr=2.000e-04
[epoch 047 step 018400] loss=0.05963 lr=2.000e-04
[epoch 047 step 018500] loss=0.06430 lr=2.000e-04
[epoch 047 step 018600] loss=0.06303 lr=2.000e-04
[epoch 047 step 018700] loss=0.05944 lr=2.000e-04
[epoch 048 step 018800] loss=0.05846 lr=2.000e-04
[epoch 048 step 018900] loss=0.04907 lr=2.000e-04
[epoch 048 step 019000] loss=0.05332 lr=2.000e-04
[epoch 048 step 019100] loss=0.06149 lr=2.000e-04
[epoch 049 step 019200] loss=0.07566 lr=2.000e-04
[epoch 049 step 019300] loss=0.07119 lr=2.000e-04
[epoch 049 step 019400] loss=0.05728 lr=2.000e-04
[epoch 050 step 019500] loss=0.04596 lr=2.000e-04
[epoch 050 step 019600] loss=0.05143 lr=2.000e-04
[epoch 050 step 019700] loss=0.04350 lr=2.000e-04
[epoch 050 step 019800] loss=0.04664 lr=2.000e-04
[epoch 051 step 019900] loss=0.04792 lr=2.000e-04
[epoch 051 step 020000] loss=0.05767 lr=2.000e-04
[epoch 051 step 020100] loss=0.06567 lr=2.000e-04
[epoch 051 attempt 020125] optimizer step skipped; scaler=2097152.0
[epoch 051 step 020200] loss=0.05535 lr=2.000e-04
[epoch 052 step 020300] loss=0.05421 lr=2.000e-04
[epoch 052 step 020400] loss=0.05633 lr=2.000e-04
[epoch 052 step 020500] loss=0.05491 lr=2.000e-04
[epoch 052 step 020600] loss=0.07103 lr=2.000e-04
[epoch 053 step 020700] loss=0.05750 lr=2.000e-04
[epoch 053 step 020800] loss=0.06053 lr=2.000e-04
[epoch 053 step 020900] loss=0.06922 lr=2.000e-04
[epoch 053 step 021000] loss=0.06365 lr=2.000e-04
[epoch 054 step 021100] loss=0.05011 lr=2.000e-04
[epoch 054 step 021200] loss=0.05069 lr=2.000e-04
[epoch 054 step 021300] loss=0.05260 lr=2.000e-04
[epoch 054 step 021400] loss=0.05809 lr=2.000e-04
[epoch 055 step 021500] loss=0.05895 lr=2.000e-04
[epoch 055 step 021600] loss=0.06009 lr=2.000e-04
[epoch 055 step 021700] loss=0.04700 lr=2.000e-04
[epoch 055 step 021800] loss=0.05255 lr=2.000e-04
[epoch 056 step 021900] loss=0.05553 lr=2.000e-04
[epoch 056 step 022000] loss=0.05111 lr=2.000e-04
[epoch 056 step 022100] loss=0.06276 lr=2.000e-04
[epoch 056 attempt 022146] optimizer step skipped; scaler=2097152.0
[epoch 056 step 022200] loss=0.07399 lr=2.000e-04
[epoch 057 step 022300] loss=0.05171 lr=2.000e-04
[epoch 057 step 022400] loss=0.05903 lr=2.000e-04
[epoch 057 step 022500] loss=0.05999 lr=2.000e-04
[epoch 057 step 022600] loss=0.05610 lr=2.000e-04
[epoch 058 step 022700] loss=0.05982 lr=2.000e-04
[epoch 058 step 022800] loss=0.06772 lr=2.000e-04
[epoch 058 step 022900] loss=0.05465 lr=2.000e-04
[epoch 058 step 023000] loss=0.05282 lr=2.000e-04
[epoch 059 step 023100] loss=0.04585 lr=2.000e-04
[epoch 059 step 023200] loss=0.04715 lr=2.000e-04
[epoch 059 step 023300] loss=0.06088 lr=2.000e-04
[epoch 060 step 023400] loss=0.05563 lr=2.000e-04
[epoch 060 step 023500] loss=0.05532 lr=2.000e-04
[epoch 060 step 023600] loss=0.05784 lr=2.000e-04
[epoch 060 step 023700] loss=0.05865 lr=2.000e-04
[epoch 061 step 023800] loss=0.05724 lr=2.000e-04
[epoch 061 step 023900] loss=0.06013 lr=2.000e-04
[epoch 061 step 024000] loss=0.04968 lr=2.000e-04
[epoch 061 step 024100] loss=0.04863 lr=2.000e-04
[epoch 061 attempt 024149] optimizer step skipped; scaler=2097152.0
[epoch 062 step 024200] loss=0.07092 lr=2.000e-04
[epoch 062 step 024300] loss=0.06641 lr=2.000e-04
[epoch 062 step 024400] loss=0.06401 lr=2.000e-04
[epoch 062 step 024500] loss=0.05537 lr=2.000e-04
[epoch 063 step 024600] loss=0.05079 lr=2.000e-04
[epoch 063 step 024700] loss=0.04923 lr=2.000e-04
[epoch 063 step 024800] loss=0.05540 lr=2.000e-04
[epoch 063 step 024900] loss=0.05611 lr=2.000e-04
[epoch 064 step 025000] loss=0.05292 lr=2.000e-04
[epoch 064 step 025100] loss=0.04503 lr=2.000e-04
[epoch 064 step 025200] loss=0.06307 lr=2.000e-04
[epoch 064 step 025300] loss=0.05587 lr=2.000e-04
[epoch 065 step 025400] loss=0.05723 lr=2.000e-04
[epoch 065 step 025500] loss=0.05299 lr=2.000e-04
[epoch 065 step 025600] loss=0.05777 lr=2.000e-04
[epoch 065 step 025700] loss=0.06266 lr=2.000e-04
[epoch 066 step 025800] loss=0.06788 lr=2.000e-04
[epoch 066 step 025900] loss=0.03856 lr=2.000e-04
[epoch 066 step 026000] loss=0.07332 lr=2.000e-04
[epoch 066 step 026100] loss=0.06540 lr=2.000e-04
[epoch 067 attempt 026175] optimizer step skipped; scaler=2097152.0
[epoch 067 step 026200] loss=0.05114 lr=2.000e-04
[epoch 067 step 026300] loss=0.04870 lr=2.000e-04
[epoch 067 step 026400] loss=0.05570 lr=2.000e-04
[epoch 067 step 026500] loss=0.06001 lr=2.000e-04
[epoch 068 step 026600] loss=0.04939 lr=2.000e-04
[epoch 068 step 026700] loss=0.04693 lr=2.000e-04
